"doi","all_links"
"10.3389/feduc.2025.1479967",""
"10.3389/feduc.2025.1613317",""
"10.3389/feduc.2025.1630493",""
"10.3389/feduc.2025.1532294",""
"",""
"10.3389/feduc.2025.1660085",""
"10.3389/feduc.2025.1655634",""
"10.3389/feduc.2025.1674885",""
"10.3389/feduc.2025.1656092",""
"10.3389/feduc.2025.1637506",""
"10.3389/feduc.2025.1631174",""
"",""
"10.3389/feduc.2025.1593278",""
"10.3389/feduc.2025.1631337",""
"10.3389/feduc.2025.1663436",""
"10.3389/feduc.2025.1554740",""
"10.3389/feduc.2025.1577021",""
"10.3389/feduc.2025.1629670",""
"10.3389/feduc.2025.1537068",""
"10.3389/feduc.2025.1654066",""
"10.3389/feduc.2025.1597249",""
"10.3389/feduc.2025.1647568",""
"10.3389/feduc.2025.1443322",""
"10.3389/feduc.2025.1618850",""
"10.3389/feduc.2025.1602990",""
"10.3389/feduc.2025.1608450",""
"10.3389/feduc.2025.1651335",""
"10.3389/feduc.2025.1541586",""
"10.3389/feduc.2025.1656998",""
"10.3389/feduc.2025.1585694",""
"10.3389/feduc.2025.1635239",""
"10.3389/feduc.2025.1649639",""
"10.3389/feduc.2025.1623269",""
"10.3389/feduc.2025.1605921",""
"10.3389/feduc.2025.1657597",""
"10.3389/feduc.2025.1660649",""
"10.3389/feduc.2025.1633409",""
"10.3389/feduc.2025.1650873",""
"10.3389/feduc.2025.1662244",""
"10.3389/feduc.2025.1624324",""
"10.3389/feduc.2025.1654525",""
"10.3389/feduc.2025.1656989",""
"10.3389/feduc.2025.1583160",""
"10.3389/feduc.2025.1631375",""
"10.3389/feduc.2025.1589004",""
"10.3389/feduc.2025.1595171",""
"10.3389/feduc.2025.1593176",""
"10.3389/feduc.2025.1592676",""
"10.3389/feduc.2025.1654820",""
"10.3389/feduc.2025.1654805",""
"10.3389/feduc.2025.1628023",""
"10.3389/feduc.2025.1640929",""
"10.3389/feduc.2025.1644284",""
"10.3389/feduc.2025.1595658",""
"10.3389/feduc.2025.1640212",""
"10.3389/feduc.2025.1595257",""
"",""
"10.3389/feduc.2025.1606014",""
"10.3389/feduc.2025.1636446",""
"10.3389/feduc.2025.1598369",""
"10.3389/feduc.2025.1635607",""
"10.3389/feduc.2025.1622697",""
"10.3389/feduc.2025.1456583",""
"10.3389/feduc.2025.1625347",""
"10.3389/feduc.2025.1595895",""
"10.3389/feduc.2025.1616717",""
"10.3389/feduc.2025.1622805",""
"10.3389/feduc.2025.1639893",""
"10.3389/feduc.2025.1611051",""
"10.3389/feduc.2025.1614746",""
"10.3389/feduc.2025.1641303",""
"10.3389/feduc.2025.1623997",""
"10.3389/feduc.2025.1614742",""
"10.3389/feduc.2025.1657806",""
"10.3389/feduc.2025.1587639",""
"10.3389/feduc.2025.1637857",""
"10.3389/feduc.2025.1626802",""
"10.3389/feduc.2025.1626602",""
"10.3389/feduc.2025.1601869",""
"10.3389/feduc.2025.1592692",""
"10.3389/feduc.2025.1528899",""
"10.3389/feduc.2025.1613246",""
"10.3389/feduc.2025.1628019",""
"10.3389/feduc.2025.1627726",""
"",""
"10.3389/feduc.2025.1637203",""
